Location_ID,Location_Name,Location_Address,Location_ZipCode,Country
1,Maryville,Alfred Street,24184,United States
2,Edmond,Wilson Street,17003,United States
3,Odessa,Fairway,91345,United States
4,Belmont,Fox Lane,20176,United States
5,Duncan,Lincoln Road,91306,United States
6,Rochester,North Road,37342,United States
7,Wayne,Church Hill,43011,United States
8,Harlingen,Cedar Hill,75104,United States
9,Malden,Commercial Road,26164,United States
10,Farmington,Hope Street,35759,United States
